NOME_BARRAGEM_MINERACAO,NOME_DO_EMPREENDEDOR,CPF_CNPJ,LATITUDE,LONGITUDE,POSICIONAMENTO,UF,MUNICIPIO,MINERIO_PRINCIPAL,ALTURA_ATUAL_metros,VOLUME_ATUAL_m3,CATEGORIA_DE_RISCO,DANO_POTENCIAL_ASSOCIADO,CLASSE,INSERIDA_NA_PNSB
Barragem de rejeito não magnético 01,Vanádio de Maracás S A,15.191.786/0001-49,"-13º40'58,600""","-40º41'25,100""",Sul do Equador,BA,MARACÁS,Minério de Vanádio,11.99,"149,486.93",Baixa,Média,C,Sim
Barragem de rejeito não magnético 02,Vanádio de Maracás S A,15.191.786/0001-49,"-13º41'12,251""","-40º41'29,982""",Sul do Equador,BA,MARACÁS,Minério de Vanádio,15.19,"391,923.43",Baixa,Baixa,E,Sim
Barragem de rejeito não magnético 03,Vanádio de Maracás S A,15.191.786/0001-49,"-13º41'14,100""","-40º41'20,900""",Sul do Equador,BA,MARACÁS,Minério de Vanádio,20.21,"369,292.00",Baixa,Média,C,Sim
Barragem MCSA,Mineração Caraíba S.a.,42.509.257/0001-13,"-09º51'04,100""","-39º49'35,700""",Sul do Equador,BA,JAGUARARI,Minério de Cobre,6.65,"45,400,000.00",Baixa,Baixa,E,Sim
Barragem Santa Rita,Mirabela Mineração do Brasil Ltda.,74.127.010/0001-29,"-14º11'20,792""","-39º41'49,707""",Sul do Equador,BA,ITAGIBÁ,Minério de Níquel,27.00,"23,238,613.66",Baixa,Alta,B,Sim
BARRAGEM USINA/CIP - LAGO 1 E 2,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'59,000""","-39º05'23,000""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,23.00,"13,770,423.00",Baixa,Alta,B,Sim
BARRAGEM USINA/CIP - LAGO 3,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'49,682""","-39º04'16,305""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,11.17,"1,721,104.00",Baixa,Alta,B,Sim
BARRAGEM USINA/CIP - LAGO 4,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'53,000""","-39º05'53,000""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,17.89,"248,254.30",Baixa,Alta,B,Sim
DIQUE DE SEGURANÇA,Fazenda Brasileiro Desenvolvimento Mineral Ltda.,22.104.045/0001-49,"-11º26'58,200""","-39º05'31,800""",Sul do Equador,BA,BARROCAS,Rocha Aurífera,8.37,"5,000.00",Baixa,Média,C,Sim
Barragem Norte,Samarco Mineração S A.,16.628.281/0001-61,"-20º46'03,255""","-40º35'18,081""",Sul do Equador,ES,ANCHIETA,Sedimentos,7.00,"1,171,600.00",Baixa,Média,C,Sim
Barragem BM,Mosaic Fertilizantes P&K S.A. Filial: Catalao,33.931.486/0010-21,"-18º06'45,300""","-47º47'04,100""",Sul do Equador,GO,CATALÃO,Fosfato,28.00,"1,500,000.00",Baixa,Média,C,Sim
Barragem de Rejeitos do Córrego Baco Pari,Mineração Maracá Industria e Comercio Sa,86.902.053/0001-13,"-14º12'21,207""","-49º24'22,373""",Sul do Equador,GO,ALTO HORIZONTE,Minério de Cobre,47.00,"172,057,705.00",Baixa,Alta,B,Sim
BARRAGEM DE REJEITOS PGDM,Pilar de Goias Desenvolvimento Mineral S.a.,21.823.063/0001-18,"-14º48'36,800""","-49º32'26,200""",Sul do Equador,GO,PILAR DE GOIÁS,Minério de Ouro Primário,37.00,"6,183,074.23",Baixa,Alta,B,Sim
BARRAGEM DO BURACO,Copebras Indústria Ltda,46.567.202/0009-78,"-18º09'45,000""","-47º50'43,500""",Sul do Equador,GO,CATALÃO,Rocha Fosfática,65.00,"45,000,000.00",Baixa,Alta,B,Sim
Barragem Morro Pelado,Brasil Minérios S.a.,02.683.365/0001-93,"-16º23'38,000""","-50º23'01,200""",Sul do Equador,GO,SÃO LUÍS DE MONTES BELOS,Vermiculita,12.00,"600,000.00",Baixa,Alta,B,Sim
Barragem Morro Pelado 2,Brasil Minérios S.a.,02.683.365/0001-93,"-16º23'49,700""","-50º23'00,300""",Sul do Equador,GO,SÃO LUÍS DE MONTES BELOS,Vermiculita,20.00,"70,000.00",Baixa,Baixa,E,Sim
Barragem MSG,Mineração Serra Grande S.A.,42.445.403/0001-94,"-14º33'39,923""","-49º57'36,705""",Sul do Equador,GO,CRIXÁS,Minério de Ouro Primário,87.00,"4,941,078.71",Baixa,Alta,B,Sim
Unidade I,Niobras Mineração Ltda,07.171.562/0005-70,"-18º08'48,000""","-47º48'19,000""",Sul do Equador,GO,OUVIDOR,Minério de Nióbio,31.00,"100,000.00",Média,Alta,B,Sim
Unidade II,Niobras Mineração Ltda,07.171.562/0005-70,"-18º08'59,000""","-47º48'27,000""",Sul do Equador,GO,OUVIDOR,Minério de Nióbio,25.00,"1,800,000.00",Baixa,Alta,B,Sim
Unidade IIB,Niobras Mineração Ltda,07.171.562/0005-70,"-18º08'40,490""","-47º48'40,409""",Sul do Equador,GO,OUVIDOR,Minério de Nióbio,20.00,"1,100,000.00",Baixa,Alta,B,Sim
Barrragem do Vené,Mineração Aurizona S.A.,42.422.048/0001-38,"-01º18'04,800""","-45º45'40,700""",Sul do Equador,MA,GODOFREDO VIANA,Minério de Ouro Primário,29.50,"9,552,200.00",Baixa,Alta,B,Sim
5 (MAC),Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-19º58'37,512""","-43º53'34,810""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,78.00,"13,718,217.00",Baixa,Alta,B,Sim
5 (Mutuca),Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-20º01'34,413""","-43º56'33,225""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,55.00,"7,100,000.00",Baixa,Alta,B,Sim
7B,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-19º58'02,514""","-43º52'58,725""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,27.40,"79,431.00",Baixa,Alta,B,Sim
8B,Vale S A Filial: Vale Paraopeba,33.592.510/0035-01,"-19º57'33,914""","-43º52'21,360""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,28.00,"92,635.00",Baixa,Alta,B,Sim
Água Fria,Topazio Imperial Mineração Comercio e Industria Ltda,16.857.294/0001-02,"-20º26'50,670""","-43º38'37,760""",Sul do Equador,MG,OURO PRETO,Aluvião com Gemas,40.00,"5,648,000.00",Média,Alta,B,Sim
Alcindo Vieira,Vale S A Filial: Vale Itabira,33.592.510/0164-09,"-19º34'28,232""","-43º14'46,628""",Sul do Equador,MG,ITABIRA,Minério de Ferro,24.00,"770,600.00",Baixa,Baixa,E,Sim
Alemães,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º25'24,810""","-43º45'11,170""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,57.00,"2,385,000.00",Baixa,Alta,B,Sim
B,Vale S A Filial: Vale Vargem Grande,33.592.510/0034-12,"-20º07'27,900""","-43º55'30,800""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,40.00,"333,000.00",Baixa,Alta,B,Sim
B1,Nacional de Grafite Ltda,21.228.861/0001-00,"-20º26'39,200""","-45º08'00,700""",Sul do Equador,MG,ITAPECERICA,Xisto,12.00,"55,000.00",Baixa,Média,C,Sim
B2,Nacional de Grafite Ltda,21.228.861/0001-00,"-20º26'24,200""","-45º07'55,200""",Sul do Equador,MG,ITAPECERICA,Xisto,13.00,"798,178.00",Baixa,Alta,B,Sim
B2  - AGUA PRETA,Companhia Siderúrgica Nacional,33.042.730/0001-04,"-20º37'35,020""","-43º45'55,390""",Sul do Equador,MG,CONSELHEIRO LAFAIETE,Minério de Manganês,29.00,"265,000.00",Baixa,Alta,B,Sim
B3,Vale S A Filial: Vale Minas Centrais,33.592.510/0447-98,"-19º52'43,139""","-43º22'41,690""",Sul do Equador,MG,SÃO GONÇALO DO RIO ABAIXO,Minério de Ferro,18.50,"137,575.00",Baixa,Alta,B,Sim
B3/B4,Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba,33.417.445/0026-89,"-20º02'51,400""","-43º57'15,700""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,55.00,"1,896,000.00",Baixa,Alta,B,Sim
B4,Nacional de Grafite Ltda,21.228.861/0001-00,"-20º26'16,300""","-45º08'54,300""",Sul do Equador,MG,ITAPECERICA,Xisto,47.00,"1,090,000.00",Baixa,Alta,B,Sim
B5,VERMELHÃO MINERAÇÃO INDUSTRIA E COMERCIO LTDA,16.857.492/0001-76,"-20º24'06,500""","-43º32'03,000""",Sul do Equador,MG,OURO PRETO,Minério com Gemas,26.40,"223,840.00",Baixa,Baixa,E,Sim
B7,Minerações Brasileiras Reunidas Sa Filial: MBR Paraopeba,33.417.445/0026-89,"-20º03'40,100""","-43º57'40,800""",Sul do Equador,MG,NOVA LIMA,Minério de Ferro,24.00,"127,161.00",Baixa,Média,C,Sim
Baia da UTM I,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º26'10,800""","-43º46'33,700""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,17.00,"12,000.00",Baixa,Alta,B,Sim
Baias da UTM II,Gerdau Açominas S.a.,17.227.422/0001-05,"-20º27'17,200""","-43º46'37,000""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,22.00,"26,000.00",Baixa,Alta,B,Sim
Baixo João Pereira,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º26'24,500""","-43º54'18,500""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,15.76,"142,500.00",Baixa,Média,C,Sim
Barnabé,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º25'33,000""","-43º53'30,400""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,25.00,"318,550.00",Baixa,Alta,B,Sim
Barnabé 1,Vale S A Filial: Vale Itabiritos,33.592.510/0044-94,"-20º26'02,500""","-43º52'56,400""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,33.00,"407,524.00",Baixa,Alta,B,Sim
Barragem 01 - Jose Jaime,Minerita Minérios Itaúna Ltda.,16.813.461/0001-13,"-20º08'13,740""","-44º23'01,130""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,20.00,"1,200,000.00",Baixa,Alta,B,Sim
Barragem 02 - Canindé,Minerita Minérios Itaúna Ltda.,16.813.461/0001-13,"-20º08'19,320""","-44º22'48,680""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,40.00,"86,937.10",Baixa,Média,C,Sim
Barragem 03,Companhia Siderúrgica Nacional,33.042.730/0001-04,"-20º18'48,380""","-45º34'38,840""",Sul do Equador,MG,ARCOS,Calcário,10.00,"900,000.00",Baixa,Média,C,Sim
Barragem 03 - Zé da Grota,Minerita Minérios Itaúna Ltda.,16.813.461/0001-13,"-20º08'18,330""","-44º23'11,710""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,32.00,"3,200,000.00",Baixa,Alta,B,Sim
Barragem 1,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º29'51,521""","-46º49'07,550""",Sul do Equador,MG,PARACATU,Minério de Zinco,21.00,"1,800,000.00",Baixa,Alta,B,Sim
Barragem 1 - Decantação,MSM Mineração Serra da Moeda Ltda.,21.705.306/0001-13,"-20º22'43,000""","-43º54'58,000""",Sul do Equador,MG,ITABIRITO,Hematita,12.00,"40,000.00",Baixa,Alta,B,Sim
Barragem 2,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º30'38,192""","-46º49'41,980""",Sul do Equador,MG,PARACATU,Calcário Dolomítico,32.50,"1,600,000.00",Baixa,Alta,B,Sim
Barragem 2 - Decantação,MSM Mineração Serra da Moeda Ltda.,21.705.306/0001-13,"-20º22'42,070""","-43º54'58,460""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,12.00,"64,000.00",Baixa,Média,C,Sim
Barragem 3,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º30'47,768""","-46º49'42,290""",Sul do Equador,MG,PARACATU,Calcário Dolomítico,12.00,"500,000.00",Baixa,Alta,B,Sim
BARRAGEM 7,Ferrous Resources do Brasil Sa,08.852.207/0001-04,"-20º33'45,400""","-43º57'03,100""",Sul do Equador,MG,JECEABA,Minério de Ferro,64.00,"4,418,484.24",Baixa,Alta,B,Sim
Barragem A,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º38'59,000""","-46º56'46,000""",Sul do Equador,MG,ARAXÁ,Fosfato,8.00,"30,000.00",Baixa,Alta,B,Sim
Barragem A0,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º37'00,000""","-47º02'00,000""",Sul do Equador,MG,ARAXÁ,Fosfato,23.50,"4,600,000.00",Baixa,Alta,B,Sim
Barragem Aroeira,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-17º58'21,400""","-46º48'52,100""",Sul do Equador,MG,VAZANTE,Minério de Zinco,44.00,"11,200,000.00",Baixa,Alta,B,Sim
BARRAGEM AUXILIAR DO VIGIA,Nacional Minerios Sa,08.446.702/0001-05,"-20º26'04,000""","-43º50'07,100""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,35.00,"3,140,693.00",Baixa,Alta,B,Sim
Barragem B,Mosaic Fertilizantes P&K S.A. Filial: Patos,33.931.486/0027-70,"-18º22'51,200""","-46º55'37,900""",Sul do Equador,MG,PATOS DE MINAS,Fosfato,25.00,"3,260,000.00",Baixa,Média,C,Sim
Barragem B1 - Mina Ipê,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º07'11,300""","-44º18'26,900""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,55.00,"571,815.00",Baixa,Média,C,Sim
Barragem B1 - Mina Tico-Tico,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º06'06,400""","-44º17'20,600""",Sul do Equador,MG,IGARAPÉ,Sedimentos,22.00,"22,000.00",Baixa,Alta,B,Sim
Barragem B1/B4,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º38'01,000""","-46º59'47,000""",Sul do Equador,MG,ARAXÁ,Fosfato,58.00,"24,000,000.00",Baixa,Alta,B,Sim
Barragem B1A Ipê,Emicon Mineração e Terraplenagem LTDA.,16.679.953/0001-68,"-20º07'22,700""","-44º18'45,300""",Sul do Equador,MG,BRUMADINHO,Minério de Ferro,37.00,"22,460.00",Média,Alta,B,Sim
Barragem B1-Auxiliar - Mina Tico-Tico,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º06'12,700""","-44º17'17,500""",Sul do Equador,MG,IGARAPÉ,Minério de Ferro,68.00,"657,575.00",Baixa,Alta,B,Sim
Barragem B2,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º38'37,000""","-46º58'27,000""",Sul do Equador,MG,ARAXÁ,Minério de Ferro,25.00,"750,000.00",Baixa,Média,C,Sim
Barragem B2 - Mina Tico-Tico,Mineração Morro do Ipê S.a.,22.902.554/0001-17,"-20º06'37,200""","-44º17'13,500""",Sul do Equador,MG,IGARAPÉ,Minério de Ferro,80.00,"2,200,000.00",Baixa,Alta,B,Sim
BARRAGEM B2 AUXILIAR,Nacional Minerios Sa,08.446.702/0001-05,"-20º09'48,200""","-43º51'03,610""",Sul do Equador,MG,RIO ACIMA,Minério de Ferro,33.00,"6,439,465.00",Baixa,Alta,B,Sim
BARRAGEM B4,Csn Mineração S.a.,08.902.291/0001-15,"-20º29'09,000""","-43º53'09,000""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,65.00,"13,001,821.00",Baixa,Alta,B,Sim
BARRAGEM B5,Csn Mineração S.a.,08.902.291/0001-15,"-20º29'23,000""","-43º53'28,000""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,41.00,"5,393,580.00",Baixa,Alta,B,Sim
Barragem BA-3,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º49'23,900""","-46º52'05,900""",Sul do Equador,MG,TAPIRA,Fosfato,14.00,"650,000.00",Baixa,Média,C,Sim
Barragem BD-2,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º50'14,100""","-46º50'14,500""",Sul do Equador,MG,TAPIRA,Fosfato,21.00,"2,000,000.00",Baixa,Baixa,E,Sim
Barragem BD-5,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º49'15,700""","-46º50'30,500""",Sul do Equador,MG,TAPIRA,Fosfato,33.00,"2,560,000.00",Baixa,Alta,B,Sim
Barragem BL-1,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º50'32,900""","-46º51'51,300""",Sul do Equador,MG,TAPIRA,Fosfato,91.00,"170,000,000.00",Baixa,Alta,B,Sim
BARRAGEM BOM JARDIM,Bauminas Mineração Ltda,19.534.650/0001-45,"-21º12'41,671""","-42º42'53,751""",Sul do Equador,MG,MIRAÍ,Argila,23.00,"1,450,000.00",Baixa,Alta,B,Sim
Barragem BR,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º50'18,600""","-46º49'58,000""",Sul do Equador,MG,TAPIRA,Fosfato,57.00,"80,000,000.00",Baixa,Alta,B,Sim
Barragem BRI,Mosaic Fertilizantes P&K S.A. Filial: Tapira,33.931.486/0020-01,"-19º47'19,900""","-46º52'44,000""",Sul do Equador,MG,TAPIRA,Fosfato,35.00,"8,300,000.00",Baixa,Alta,B,Sim
Barragem C,Mosaic Fertilizantes P&K S.A. Filial: Patos,33.931.486/0027-70,"-18º22'47,300""","-46º55'58,200""",Sul do Equador,MG,PATOS DE MINAS,Fosfato,10.00,"417,600.00",Baixa,Média,C,Sim
BARRAGEM CASA DE PEDRA,Csn Mineração S.a.,08.902.291/0001-15,"-20º30'21,000""","-43º53'00,000""",Sul do Equador,MG,CONGONHAS,Minério de Ferro,84.00,"21,713,715.00",Baixa,Alta,B,Sim
Barragem Central,Safm Mineração Ltda,09.325.670/0001-52,"-20º16'22,353""","-43º53'42,615""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,25.00,"466,079.71",Baixa,Média,C,Sim
Barragem da Grota,Safm Mineração Ltda,09.325.670/0001-52,"-20º16'07,500""","-43º53'35,800""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,13.50,"109,380.15",Baixa,Alta,B,Sim
Barragem da Mina II,Companhia Mineradora do Pirocloro de Araxá,17.806.779/0001-30,"-19º39'25,200""","-46º56'24,650""",Sul do Equador,MG,ARAXÁ,Minério de Nióbio,25.00,"22,000.00",Baixa,Baixa,E,Sim
Barragem de Aredes,Safm Mineração Ltda,09.325.670/0001-52,"-20º16'32,800""","-43º53'53,600""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,17.00,"448,281.81",Baixa,Média,C,Sim
Barragem de Contenção de Sedimentos do Josino,Ferro + Mineração S.a.,21.256.870/0001-04,"-20º25'32,160""","-43º51'52,890""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,9.00,"16,636.00",Baixa,Média,C,Sim
Barragem de Decantação de Água e Polpa - EBII - Mineroduto,Samarco Mineração S A.,16.628.281/0001-61,"-20º22'19,041""","-42º21'17,308""",Sul do Equador,MG,MATIPÓ,Sedimentos,17.00,"120,942.00",Baixa,Alta,B,Sim
Barragem de Germano,Samarco Mineração S A.,16.628.281/0001-61,"-20º12'59,400""","-43º28'04,600""",Sul do Equador,MG,MARIANA,Itabirito,163.00,"129,590,000.00",Baixa,Alta,B,Sim
Barragem de Mercês,Bauminas Mineração Ltda,19.534.650/0001-45,"-21º07'57,271""","-43º21'01,241""",Sul do Equador,MG,MERCÊS,Bauxita Grau Não Metalúrgico,29.50,"237,000.00",Baixa,Baixa,E,Sim
BARRAGEM DIQUE 2,Minar Mineração Aredes Ltda.,20.066.908/0001-05,"-20º17'09,506""","-43º53'54,556""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,25.00,"396,000.00",Média,Média,C,Sim
BARRAGEM DO VIGIA,Nacional Minerios Sa,08.446.702/0001-05,"-20º26'16,735""","-43º50'02,435""",Sul do Equador,MG,OURO PRETO,Minério de Ferro,30.00,"812,901.00",Baixa,Alta,B,Sim
Barragem E,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º39'00,734""","-46º57'08,359""",Sul do Equador,MG,ARAXÁ,Fosfato,13.96,"90,000.00",Baixa,Alta,B,Sim
BARRAGEM ECOLÓGICA 1,Nacional Minerios Sa,08.446.702/0001-05,"-20º09'31,827""","-43º50'34,785""",Sul do Equador,MG,RIO ACIMA,Cascalho,15.00,"41,000.00",Baixa,Alta,B,Sim
BARRAGEM ECOLÓGICA 2,Nacional Minerios Sa,08.446.702/0001-05,"-20º09'30,070""","-43º50'50,477""",Sul do Equador,MG,RIO ACIMA,Cascalho,6.50,"104,000.00",Baixa,Alta,B,Sim
Barragem Eustáquio,Kinross Brasil Mineração S A,20.346.524/0001-46,"-17º08'45,920""","-46º54'07,890""",Sul do Equador,MG,PARACATU,Minério de Ouro Primário,94.00,"148,349,348.00",Baixa,Alta,B,Sim
Barragem F,Mosaic Fertilizantes P&K S.A. Filial: Araxa,33.931.486/0019-60,"-19º39'15,000""","-46º57'11,000""",Sul do Equador,MG,ARAXÁ,Fosfato,25.00,"35,200.00",Baixa,Alta,B,Sim
Barragem II Mina Engenho,Mundo Mineração Ltda.,07.950.015/0001-60,"-20º03'46,100""","-43º47'41,000""",Sul do Equador,MG,RIO ACIMA,Minério de Ouro Primário,40.00,"14,160.67",Alta,Alta,A,Sim
Barragem Mãe D'Água,Cia Mineradora Catite Duo S. A.,16.530.219/0001-32,"-19º36'06,170""","-43º01'47,700""",Sul do Equador,MG,NOVA ERA,Minério de Ferro,48.00,"3,100,000.00",Média,Média,C,Sim
Barragem Mina Engenho,Mundo Mineração Ltda.,07.950.015/0001-60,"-20º03'42,100""","-43º47'40,900""",Sul do Equador,MG,RIO ACIMA,Minério de Ouro Primário,32.00,"549,927.00",Alta,Alta,A,Sim
Barragem Mina Oeste (Somisa),Mineração Usiminas S.a.,12.056.613/0001-20,"-20º10'02,400""","-44º27'36,000""",Sul do Equador,MG,ITATIAIUÇU,Minério de Ferro,80.00,"12,535,000.00",Baixa,Alta,B,Sim
BARRAGEM MINAR,Minar Mineração Aredes Ltda.,20.066.908/0001-05,"-20º16'54,200""","-43º53'58,510""",Sul do Equador,MG,ITABIRITO,Minério de Ferro,1.00,"87,775.00",Média,Alta,B,Sim
Barragem MRDM,Mineração Riacho dos Machados Ltda.,08.832.667/0001-62,"-16º03'22,500""","-43º07'45,000""",Sul do Equador,MG,RIACHO DOS MACHADOS,Minério de Ouro Primário,30.00,"5,945,479.06",Baixa,Alta,B,Sim
Barragem Paciência,Mineração Serras do Oeste Eireli,28.917.748/0001-72,"-20º12'37,637""","-43º41'08,800""",Sul do Equador,MG,ITABIRITO,Minério de Ouro Primário,34.00,"1,400,000.00",Baixa,Alta,B,Sim
BARRAGEM REJEITOS,NEXA RECURSOS MINERAIS S.A,42.416.651/0001-07,"-20º53'34,300""","-46º42'19,000""",Sul do Equador,MG,FORTALEZA DE MINAS,Minério de Níquel,46.80,"3,250,000.00",Baixa,Alta,B,Sim
